レビュー文, スコア
そういった意味では、約１０年前のこの作品はなんでここまで面白く作れるのだろう, 15.294474
映画の内容について、特に深く考えること無く理解できるので観やすいが、そのため観た後に特に何も残らない, 15.198748
友情、愛情、過剰に異常、って感じで映画的エッセンス満載, 15.170349
が、１作目の方が僕は好きです, 15.033982
未だにギター弾いてるし、ロック好きなので、そういう意味では俺の人生に一番影響を与えた映画かも, 15.028849
劇場で観た時はこんなモンかと思ったが、ビデオやＤＶＤで見返して観ると面白くなった, 14.978661
少し前にテレビでやっていたので、今見たらどう感じるだろうと思って見てみたのですが、やっぱり面白かったのには本当に驚きました, 14.938331
ターミネーター以外ではシュワルツェネッガーの映画で一番面白いと思う, 14.865561
そしたらホットショットでしっかりパロってくれたので、「ああ、死者の数、数えたのは俺だけじゃなかったんだ」と得意な気分になれたのさ, 14.865561
クライマックスは、あらゆる銃や手榴弾を身につけながら、なぜか投げナイフまで見せてくれる大サービス, 14.837162
月日は流れ、お互いにじじいになりましたが、メイトリックス隊長は永遠のヒーローです, 14.813445
（織田裕二版でなくて良かった）DVD出して欲しいです, 14.805706
海軍のレーダーを切り抜けるために水面スレスレを飛行するというスキルまで持ち合わせる, 14.719379
本物デパ－トを使ったりショベルカ－でガラスを突き破ったりなど本当に凄いです, 14.647101
当時、観たとき小学生だったんですが、本当に面白かったです, 14.605479
孤軍奮闘、大活躍のおじさんは一夜にしてニュー・ヒーロー, 14.407980
この映画の優れた所は、世界観に酔い、キャラクターにハマるという楽しさを再認識させてくれた事, 14.390875
エドに３もでてほしかったよーエレベーターのシーンが好き, 14.295209
このあと、一時期、歌手活動もしてたけど、最近あまりみないね, 14.294880
細部まで拘ったストーリーは最高です, 14.227459
続編で成功する映画はたくさんないけど、これは成功したと思うね, 14.213236
俳優の中で一番好きｖｖｖこの映画はとにかくすごいと思った, 14.086087
予定調和と言うのだろうか、想定の範囲内で物語が進んでいくので安心して観ることができる, 14.054631
僕のベスト２です, 14.010752
ちょっと演出を加えたノンフィクション映画って感じでリアリティあったね, 13.953953
２人ともそれぞれの主人公の人間性などを忠実に演じていて素晴らしかったです, 13.925554
で、見た後すぐはこのどきどきハラハラすっきり映画を楽しみましたが、少ししたらものすごい速さで心の中から去ってしまいました, 13.790666
初めて観たあの時のあのわくわくした気持ち、今も忘れてません, 13.754855
シュワちゃんの映画ではこの映画が１番好きかも, 13.744361
当時見たときは楽しめたんだが、見直してみるとさすがに粗に目が行ってしまう, 13.696928
恐竜誕生のメカニズムに説得力があって物語りに入り込めた, 13.674011
それでもタネ明かしの回想シーンとかはさすがサスペンスの巨匠です, 13.625778
なんかあのラストも読めてたし、そもそもこの映画の雰囲気自体が好きになれませんでした, 13.548488
オープニングが面白かったので、１０回くらい見直してしまった, 13.539122
映画館でこういう一体感を味わったのはひさしぶりでした, 13.358427
それまでのテレビシリ－ズでは全く魅力を感じなかったＢ, 13.308737
あと、レイ・ドーン・チョン演じる黒人女性がすごく良かったなぁ, 13.021686
短い映画人生の中でこいつぁあかんわ・・と思いました, 12.899220
もっと単純に、ミッションを遂行していく面白さを見せてほしい, 12.875503
感情移入のポイントをことごとく猛スピードで通過していきました, 12.875503
２はおもろないが、これは結構よかった, 12.847602
偶然にも飛行機の操縦ができてしまう, 12.616221
まだ若く、演技もへたくそだけど（今でも変わらないかも）パワーがある, 12.591705
ストーリーや音楽の軽快さがよい, 12.533777
でも、ボスと一緒に行動するのはちょっと無理があったが・・・もう完璧, 12.510860
国際色豊かなキャストには目を見張りますが、中身が追いついていません, 12.457616
僕の基準ではやっぱ最高設定をつけざるをえないでしょう、これは, 12.354855
ストーリーは面白いと思うのだが表現の仕方が少し陳腐に感じた, 12.315317
また包容力がありそうで、こすいジョンボイド扮する上司役も良かった, 12.158640
よく観たら、ちゃんと拳銃撃ったのは１発だけだった, 12.006646
私の好きな登場人物、クーク、エンリケ、サリー・・・ベネット, 11.999430
それだけ、面白かったし、ヒューイルイスの主題歌も最高, 11.961813
音楽とかやっぱりいいんですが、内容はそこまで面白いというわけではないですね, 11.934368
当時バラエティーで散々パロディー化されてたが、それほどインパクトあったね, 11.828207
ストーリー的には有り得ない展開ですが、絵的には面白かったので、まあいいか, 11.793197
冒頭のミッションが一番スリリングで良かったと思います, 11.712352
過去の風景が、良くできてると思ったし、そこに出てくる人たちも個性溢れていて面白かったです, 11.512925
もし、ターミネーターでなく、平和な時代であったらと思う, 11.294465
ブルース・ウィルスがタフでクールでかっこいい, 11.257264
）を期待していた人にはちょっとガッカリかも, 11.090355
時間を感じさせず最後まで楽しめました, 11.001603
今までの映画の魅力を超越した何かを感じるのは僕だけでしょうか, 10.986950
あのなつかしき、そして誰をも魅了しないではいられないテーマソングに７点を, 10.948056
とっくに枯れかけていた筋肉バカ魂復活祭～, 10.848178
この映画をオールナイトの劇場の大きなスクリーンで観れたことが一番ウレシイ, 10.701995
愛する者のために武器も寄せ集めで、決して死なない機械と戦う, 10.701995
ゴア監督はとんとん拍子で出世してるからな、、次は何を撮るんだろうか、、、, 10.543914
まだ少年だった僕は、恐竜が大好きで、そんでもって映画も大好きで、それでこの映画をものすごく心待ちにしていたのね, 10.455135
舞台をビル限定で細部まで無理なくうまく作られていて好きです, 10.455135
ターミネータ－が正義の味方・・・これではいかんです, 10.442713
極秘部隊員同士が大衆の面前で堂々と格闘, 10.442713
旧作は幼少期のぼんやりとした思い出程度なので、新鮮に見ることが出来て、それなりに怖かった, 10.442713
正直、１作目も好きですが、それより好きです, 10.397208
話がポンポンとテンポ良く進んで、スピーディーで面白かったです, 10.361069
☆あと、若き日のアリッサ・ミラノに会えたのはラッキーです, 10.208275
景色や映像、ＣＧがとてもキレイにできていて、お金をかけているのがよくわかった, 10.126631
イーサンの動きがキビキビしていて、素直にカッコイイ, 10.102915
実話らしがかなり膨らました感じだが・・, 10.013531
 2作目よりはオリジナルの味が残っている, 9.972709
ものすげぇCGだけで、そこそこ満足しました, 9.936899
それらが絡み合い調和した、エンターテイメント作品の一大傑作です, 9.777965
この最後は理屈抜きで好きです, 9.639025
最後まで諦めない男, 9.639025
どうせ3やるなら、3を2に持ってくれば良かったのに, 9.631782
映画館で観ていたら，ハリウッドならではの迫力を楽しめたのではないかと思います, 9.559504
逆さ吊りにした男を崖から落とすところ、好きです, 9.502705
それとそれと、未来って変えてしまったらジョンだって産まれて来ないんじゃないの・・・, 9.397345
将来、自分の子供にも見せたい映画, 9.335070
能力の面白さ、そしてロバートパトリックの演技、はまり具合, 9.210340
アリッサミラノは日本では凄く人気があったのは何故かなー, 8.833275
テンポ良し、歯切れ良し, 8.764053
私の人生のなかでのＮｏ, 8.598837
最近見たけど、文句なしでおもろい一本でした, 8.468632
と声を大にしたい程に、すこぶる心地良い出だしで、のっけから入り込んでしまいました, 8.440232
スキーで大ジャンプし、見事に着地が決まった感じ, 8.404093
考えてみれば凄い映画かも（笑 作品自体は普通に楽しんで見れました, 8.399410
もう一回見たら面白く感じるかなぁ, 8.317766
一回観たら充分だけど, 8.317766
月夜の海底をひた進む骸骨の行進も幻想的で素敵でした, 8.047190
単純でハッピーエンドで楽しい、ディズニーらしい映画, 8.047190
おもしろい、最後までノンストップ素直に楽しめました, 8.029587
しかし、私の姿と、車はしっかり記録されたのだろうなぁ, 8.023473
たまたまTVでやってたので全く期待しないで観ましたがメチャクチャ面白かったです, 7.953123
自分のベスト映画５には入る, 7.948776
ホント素直に面白かったｗｗテレビでやっていたら暇ならまた観たいぐらいの映画です, 7.653516
テレビ版大好きだったので、切り離してみました, 7.304850
彼が出てなきゃ、所詮はよく出来たイベントムーヴィー以外の何物でもなかったろうし, 7.236259
 突っ込み所の多さではトップクラス, 7.223837
やたらと宣伝で流れていた、あの有名なシーン, 7.188027
予告を見てかなり期待したんですが、ちょっとはずれました, 7.154615
こういう娯楽をのみ考えた映画、好きです, 7.151559
ハラハラ・ドキドキの娯楽作品で、十分に楽しめます, 7.151559
もっともストーリーはハラハラドキドキでちっとも安心できませんけどね, 7.093960
しかし、二度観てみると良くできた映画じゃないですか, 6.672297
ここらへんが映像の面白い所ではないだろうか, 6.437752
この作品、周りの意見も賛否両論で面白い, 6.437752
この映画のお陰で未だにカルバン・クラインのブリーフ履いてます, 6.437752
スクリーンで見た瞬間ただただ驚きでした, 6.425329
しかし決して悪い作品ではなく、続き物としては合格点だと思います, 6.119742
僕的には生涯のベスト作品の候補の一本です, 5.991465
今まで見た映画で１番好きな映画, 5.801732
今までで一番見た映画, 5.801732
子供の感性には強烈すぎたかも, 5.768321
あまりにも内容が無くて、でもそれが返って壮快, 5.696043
T-1000・・・こいつが良かったわぁ, 5.626821
TGV上で派手にやり合うのは、ハリウッド映画らしくて楽しい, 5.626821
それだけ面白いシーンがたくさんあるということで、もちろんそれらはきっちり繋がっている, 5.578589
期待しないで観たらなかなか面白い, 5.545177
期待したほどではなかった, 5.545177
期待しないでいったら意外と楽しめたのが嬉しかった, 5.545177
かなり面白い映画と聞いていたので、期待してたのですが、まあまあ位の面白さでした, 5.545177
展開がどうなるか知っていても、未だに観ると面白い, 5.497744
こんなに痛快で見た後にスッキリするのはめったにありません, 5.472899
楽しくて夢があって、とにかく見て面白いという点でこれほどハッキリとした映画はそうありません, 5.308812
初見は随分前ですが、とても好きな一本です, 5.261345
そのバランス感覚が良かった, 5.180534
月の光を浴びたヒロインが・・・, 4.828314
機会があれば、是非原作を読んでください, 4.815891
ストーリーは単純で分かりやすいので楽しめました, 4.686015
その後彼は、見事スターダムにのし上がっていった, 4.674392
なのに人物に奥行きを持たせていて、さすがです, 4.674392
人生で一番多く観た映画, 4.581454
クライマックスの生き残り方が無茶苦茶で好きだ, 4.382027
まあ映画で矛盾にこだわっても仕方がない、面白いことが一番大事だし, 4.017384
映像は綺麗になって、そのへんは良かったかも, 3.665163
やっぱり映画館で観たほうがいい, 3.611918
それをたった二人で勇敢に立ち向かうから良かったのに, 3.611918
マイケルは好きだが、この映画が一番ではない, 3.218876
ビデオじゃなくて映画館で楽しむ作品, 2.748872
そんなこと、あり得ないだろう、できないだろう、と思うことを、リアリティをもたせて見せてくれました, 2.748872
定番ですが、面白かったです, 2.748872
こういう分かりやすい面白い映画は、絶対大事です, 2.407946
正直、これほど面白い映画は観た事ありませんでした, 2.407946
満足できる一作でした, 2.231436
ただ、色々古びている割には、それなりに楽しくみることができました, 1.609438
それは置いといて、大ドンデン返しが見事でした, 1.609438
評判が高かったので見てみたらこれが面白い, 1.609438
上手にリメイクできたね, 1.609438
これは名作だよ, 1.609438
これが良くできてたからこそ２，３に繋がった, 1.609438
それは長所か, 1.609438
この作品は観るのが”楽”だ, 1.609438
ＧＰＳとか出てきて新鮮だったなぁ, 1.609438
素直に映画のよさを楽しめた作品です, 0.000000
こんなに楽しんで見た映画は数えるほどしかありません, 0.000000
この映画、よく出来ています, 0.000000
